t_conf,t_margin,t_overlap,em,f1,avg_calls,n_questions,n_stopped_early
0.35,0.45,0.35,45.0,57.000700280112035,1.04,100,100
0.35,0.45,0.4,45.0,57.000700280112035,1.04,100,100
0.35,0.525,0.05,45.0,57.000700280112035,1.04,100,100
0.35,0.525,0.1,45.0,57.000700280112035,1.04,100,100
0.35,0.525,0.15,45.0,57.000700280112035,1.04,100,100
0.35,0.525,0.2,45.0,57.000700280112035,1.04,100,100
0.35,0.525,0.25,45.0,57.000700280112035,1.04,100,100
0.35,0.525,0.3,45.0,57.000700280112035,1.04,100,100
0.35,0.525,0.35,45.0,57.000700280112035,1.04,100,100
0.35,0.525,0.4,45.0,57.000700280112035,1.04,100,100
0.35,0.6,0.05,45.0,57.000700280112035,1.04,100,100
0.35,0.6,0.1,45.0,57.000700280112035,1.04,100,100
0.35,0.6,0.15,45.0,57.000700280112035,1.04,100,100
0.35,0.6,0.2,45.0,57.000700280112035,1.04,100,100
0.35,0.6,0.25,45.0,57.000700280112035,1.04,100,100
0.35,0.6,0.3,45.0,57.000700280112035,1.04,100,100
0.35,0.6,0.35,45.0,57.000700280112035,1.04,100,100
0.35,0.6,0.4,45.0,57.000700280112035,1.04,100,100
0.35,0.675,0.05,45.0,57.000700280112035,1.05,100,100
0.35,0.675,0.1,45.0,57.000700280112035,1.06,100,100
0.35,0.675,0.15,45.0,57.000700280112035,1.06,100,100
0.35,0.675,0.2,45.0,57.000700280112035,1.06,100,100
0.35,0.675,0.25,45.0,57.000700280112035,1.06,100,100
0.35,0.675,0.3,45.0,57.000700280112035,1.06,100,100
0.35,0.675,0.35,45.0,57.000700280112035,1.06,100,100
0.35,0.675,0.4,45.0,57.000700280112035,1.06,100,100
0.35,0.75,0.05,45.0,57.000700280112035,1.05,100,100
0.35,0.75,0.1,45.0,57.000700280112035,1.06,100,100
0.35,0.75,0.15,45.0,57.000700280112035,1.06,100,100
0.35,0.75,0.2,45.0,57.000700280112035,1.06,100,100
0.35,0.75,0.25,45.0,57.000700280112035,1.06,100,100
0.35,0.75,0.3,45.0,57.000700280112035,1.06,100,100
0.35,0.75,0.35,45.0,57.000700280112035,1.06,100,100
0.35,0.75,0.4,45.0,57.000700280112035,1.06,100,100
0.35,0.825,0.05,45.0,57.000700280112035,1.05,100,100
0.35,0.825,0.1,45.0,57.000700280112035,1.06,100,100
0.35,0.825,0.15,45.0,57.000700280112035,1.06,100,100
0.35,0.825,0.2,45.0,57.000700280112035,1.06,100,100
0.35,0.825,0.25,45.0,57.000700280112035,1.06,100,100
0.35,0.825,0.3,45.0,57.000700280112035,1.06,100,100
0.35,0.825,0.35,45.0,57.000700280112035,1.06,100,100
0.35,0.825,0.4,45.0,57.000700280112035,1.06,100,100
0.4,0.3,0.05,43.0,55.25070028011204,1.02,100,100
0.4,0.3,0.1,43.0,55.25070028011204,1.02,100,100
0.4,0.3,0.15,43.0,55.25070028011204,1.02,100,100
0.4,0.3,0.2,43.0,55.25070028011204,1.02,100,100
0.4,0.3,0.25,43.0,55.25070028011204,1.02,100,100
0.4,0.3,0.3,43.0,55.25070028011204,1.02,100,100
0.4,0.3,0.35,43.0,55.25070028011204,1.02,100,100
0.4,0.3,0.4,43.0,55.25070028011204,1.02,100,100
0.4,0.375,0.05,45.0,57.000700280112035,1.04,100,100
0.4,0.375,0.1,45.0,57.000700280112035,1.04,100,100
0.4,0.375,0.15,45.0,57.000700280112035,1.04,100,100
0.4,0.375,0.2,45.0,57.000700280112035,1.04,100,100
0.4,0.375,0.25,45.0,57.000700280112035,1.04,100,100
0.4,0.375,0.3,45.0,57.000700280112035,1.04,100,100
0.4,0.375,0.35,45.0,57.000700280112035,1.04,100,100
0.4,0.375,0.4,45.0,57.000700280112035,1.04,100,100
0.4,0.45,0.05,45.0,57.000700280112035,1.04,100,100
0.4,0.45,0.1,45.0,57.000700280112035,1.04,100,100
0.4,0.45,0.15,45.0,57.000700280112035,1.04,100,100
0.4,0.45,0.2,45.0,57.000700280112035,1.04,100,100
0.4,0.45,0.25,45.0,57.000700280112035,1.04,100,100
0.4,0.45,0.3,45.0,57.000700280112035,1.04,100,100
0.4,0.45,0.35,45.0,57.000700280112035,1.04,100,100
0.4,0.45,0.4,45.0,57.000700280112035,1.04,100,100
0.4,0.525,0.05,45.0,57.000700280112035,1.04,100,100
0.4,0.525,0.1,45.0,57.000700280112035,1.04,100,100
0.4,0.525,0.15,45.0,57.000700280112035,1.04,100,100
0.4,0.525,0.2,45.0,57.000700280112035,1.04,100,100
0.4,0.525,0.25,45.0,57.000700280112035,1.04,100,100
0.4,0.525,0.3,45.0,57.000700280112035,1.04,100,100
0.4,0.525,0.35,45.0,57.000700280112035,1.04,100,100
0.4,0.525,0.4,45.0,57.000700280112035,1.04,100,100
0.4,0.6,0.05,45.0,57.000700280112035,1.04,100,100
0.4,0.6,0.1,45.0,57.000700280112035,1.04,100,100
0.4,0.6,0.15,45.0,57.000700280112035,1.04,100,100
0.4,0.6,0.2,45.0,57.000700280112035,1.04,100,100
0.4,0.6,0.25,45.0,57.000700280112035,1.04,100,100
0.4,0.6,0.3,45.0,57.000700280112035,1.04,100,100
0.4,0.6,0.35,45.0,57.000700280112035,1.04,100,100
0.4,0.6,0.4,45.0,57.000700280112035,1.04,100,100
0.4,0.675,0.05,45.0,57.000700280112035,1.05,100,100
0.4,0.675,0.1,45.0,57.000700280112035,1.06,100,100
0.4,0.675,0.15,45.0,57.000700280112035,1.06,100,100
0.4,0.675,0.2,45.0,57.000700280112035,1.06,100,100
0.4,0.675,0.25,45.0,57.000700280112035,1.06,100,100
